"","","2.5 %","97.5 %"
"(Intercept)",0.529903367506306,0.461804030946412,0.607721030052996
"race.factorAmerican Indian or Alaska Native",0.91512530852237,0.603707418483281,1.36587695976407
"race.factorAsian",0.825246150117422,0.626878085231253,1.07869988282085
"race.factorBlack or African American",0.905823359137889,0.808176844388691,1.01447167159035
"race.factorNative Hawaiian or Other Pacific Islander",1.79005467167192,1.09881453712453,2.91776957884646
"sexMale",1.26988472445162,1.17383878664715,1.37385773651564
"age.years",1.00447660172402,1.00216773074233,1.00679412028645
"co_diabetes_first_age_in_years",0.952488013483828,0.840980024506204,1.07815498972455
"co_hypertension_first_age_in_years",0.66789842935664,0.603184386533628,0.739266704726639
"co_ckd_first_age_in_years",0.710611214122558,0.588579315926046,0.854619483125327
"co_liver_disease_first_age_in_years",0.666412803792966,0.537464374688891,0.821357933946061
"co_immunocompromised_first_age_in_years",0.521375269610396,0.37100255340364,0.720535688802914
"co_cancer_first_age_in_years",1.37460281203419,0.957813799310845,1.99514576539497
