"","","2.5 %","97.5 %"
"(Intercept)",3.79657173424386,3.743936321346,3.84986429932474
"race.factorAmerican Indian or Alaska Native",1.11286809467739,1.07280640606502,1.15393366826392
"race.factorAsian",1.04780861115702,1.02626077886831,1.06966724569617
"race.factorBlack or African American",1.11620096570641,1.10573054404132,1.12675036738639
"race.factorNative Hawaiian or Other Pacific Islander",1.15841598784543,1.10468161693122,1.21388877237654
"sexMale",1.14981083129432,1.14176796774519,1.15791122735924
"age.years",1.00722293041633,1.00701480241257,1.00743120809969
"co_diabetes_first_age_in_years",1.0297740309265,1.01975968724443,1.03987436990825
"co_hypertension_first_age_in_years",1.01294703303175,1.00456918327128,1.02139102427324
"co_ckd_first_age_in_years",1.07484482504396,1.06084265315801,1.08898921387129
"co_liver_disease_first_age_in_years",1.11348695891811,1.09653731637664,1.13062664589774
"co_immunocompromised_first_age_in_years",0.972393075936888,0.949513463658517,0.995681437769548
"co_cancer_first_age_in_years",1.00295859983283,0.976980605763833,1.02971779145585
