"","","2.5 %","97.5 %"
"(Intercept)",0.0775131165368619,0.0678960935562657,0.0883492256922572
"race.factorAmerican Indian or Alaska Native",1.21224578169343,0.842094765489705,1.70166815916472
"race.factorAsian",1.08076599675124,0.867334572371244,1.33436053075393
"race.factorBlack or African American",0.927267255072415,0.841683205797924,1.02013323550638
"race.factorNative Hawaiian or Other Pacific Islander",0.886193003455049,0.481602652856483,1.50958319309243
"sexMale",1.13562172866538,1.06272158500566,1.21354203899936
"age.years",1.01291700220197,1.01094691052881,1.01490128604611
"co_diabetes_first_age_in_years",1.21642742081518,1.10990307780407,1.3323889543523
"co_hypertension_first_age_in_years",1.0696208288306,0.988897623965449,1.15667730470561
"co_ckd_first_age_in_years",1.13952869387096,1.01266766022228,1.28012068377596
"co_liver_disease_first_age_in_years",0.949194329275979,0.817789009228623,1.09749469304644
"co_immunocompromised_first_age_in_years",1.28001040578135,1.04408676772216,1.56044432040765
"co_cancer_first_age_in_years",0.905476639875039,0.724850912311026,1.13485241850817
