"","Race","Comorbidity","Wild","Dec. 2020","Delta","Omicron","Overall"
"1","Black or African American","Cancer","52 (3.88%)","115 (4.53%)","56 (3.51%)","195 (4.89%)","418 (4.42%)"
"2","White","Cancer","235 (6.93%)","774 (6.17%)","502 (5.71%)","1486 (7.21%)","2997 (6.61%)"
"3","Black or African American","CKD","107 (7.99%)","328 (12.93%)","132 (8.28%)","412 (10.32%)","979 (10.35%)"
"4","White","CKD","217 (6.4%)","974 (7.76%)","504 (5.73%)","1565 (7.6%)","3260 (7.19%)"
"5","Black or African American","Diabetes","273 (20.39%)","603 (23.77%)","281 (17.63%)","772 (19.34%)","1929 (20.39%)"
"6","White","Diabetes","566 (16.68%)","2251 (17.93%)","1340 (15.25%)","3342 (16.22%)","7499 (16.54%)"
"7","Black or African American","Hypertension","541 (40.4%)","1069 (42.14%)","575 (36.07%)","1574 (39.44%)","3759 (39.73%)"
"8","White","Hypertension","1283 (37.81%)","4774 (38.03%)","2887 (32.85%)","7697 (37.36%)","16641 (36.71%)"
"9","Black or African American","Immunocompromised","79 (5.9%)","158 (6.23%)","96 (6.02%)","313 (7.84%)","646 (6.83%)"
"10","White","Immunocompromised","285 (8.4%)","936 (7.46%)","636 (7.24%)","1876 (9.11%)","3733 (8.23%)"
"11","Black or African American","Liver disease","34 (2.54%)","74 (2.92%)","65 (4.08%)","161 (4.03%)","334 (3.53%)"
"12","White","Liver disease","138 (4.07%)","474 (3.78%)","405 (4.61%)","1165 (5.65%)","2182 (4.81%)"
